model_id,model_name,maker,release_date,created_at,last_modified,params_b,license,provider,api_model_id,api_model_id_raw,model_family,status,access,modality,context_window,notes,source_snapshot,model_origin,model_type_primary
anthropic:claude-opus-4-20250514,Claude Opus 4,Anthropic,2025/5/22,2025-05-22T00:00:00Z,,,,anthropic,claude-opus-4-20250514,claude-opus-4-20250514,claude4,,api,,,,anthropic_models_2026-03-03.json,closed_source,frontier_closed
anthropic:claude-sonnet-4-20250514,Claude Sonnet 4,Anthropic,2025/5/22,2025-05-22T00:00:00Z,,,,anthropic,claude-sonnet-4-20250514,claude-sonnet-4-20250514,claude4,,api,,,,anthropic_models_2026-03-03.json,closed_source,frontier_closed
anthropic:claude-opus-4-1-20250805,Claude Opus 4.1,Anthropic,2025/8/5,2025-08-05T00:00:00Z,,,,anthropic,claude-opus-4-1-20250805,claude-opus-4-1-20250805,claude4,,api,,,,anthropic_models_2026-03-03.json,closed_source,frontier_closed
anthropic:claude-sonnet-4-5-20250929,Claude Sonnet 4.5,Anthropic,2025/9/29,2025-09-29T00:00:00Z,,,,anthropic,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,claude4,,api,,,,anthropic_models_2026-03-03.json,closed_source,frontier_closed
anthropic:claude-haiku-4-5-20251001,Claude Haiku 4.5,Anthropic,2025/10/15,2025-10-15T00:00:00Z,,,,anthropic,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,claude4,,api,,,,anthropic_models_2026-03-03.json,closed_source,frontier_closed
anthropic:claude-opus-4-5-20251101,Claude Opus 4.5,Anthropic,2025/11/24,2025-11-24T00:00:00Z,,,,anthropic,claude-opus-4-5-20251101,claude-opus-4-5-20251101,claude4,,api,,,,anthropic_models_2026-03-03.json,closed_source,frontier_closed
anthropic:claude-opus-4-6,Claude Opus 4.6,Anthropic,2026/2/4,2026-02-04T00:00:00Z,,,,anthropic,claude-opus-4-6,claude-opus-4-6,claude4,,api,,,,anthropic_models_2026-03-03.json,closed_source,frontier_closed
anthropic:claude-sonnet-4-6,Claude Sonnet 4.6,Anthropic,2026/2/17,2026-02-17T00:00:00Z,,,,anthropic,claude-sonnet-4-6,claude-sonnet-4-6,claude4,,api,,,,anthropic_models_2026-03-03.json,closed_source,frontier_closed
google_deepmind:manual-bard,Bard,Google DeepMind,2023/3/21,2023-03-21T00:00:00Z,,,,google_deepmind,manual-bard,,bard,discontinued,api-discontinued,,,Manual historical addition,manual_addition_2026-03-03,closed_source,frontier_closed
google_deepmind:manual-1-0-nano,1.0 Nano,Google DeepMind,2023/12/6,2023-12-06T00:00:00Z,,,,google_deepmind,manual-1-0-nano,,gemini1.0,discontinued,api-discontinued,,,Manual historical addition,manual_addition_2026-03-03,closed_source,frontier_closed
google_deepmind:manual-1-0-pro,1.0 Pro,Google DeepMind,2023/12/13,2023-12-13T00:00:00Z,,,,google_deepmind,manual-1-0-pro,,gemini1.0,discontinued,api-discontinued,,,Manual historical addition,manual_addition_2026-03-03,closed_source,frontier_closed
google_deepmind:manual-1-0-ultra,1.0 Ultra,Google DeepMind,2024/2/8,2024-02-08T00:00:00Z,,,,google_deepmind,manual-1-0-ultra,,gemini1.0,discontinued,api-discontinued,,,Manual historical addition,manual_addition_2026-03-03,closed_source,frontier_closed
google_deepmind:manual-1-5-pro,1.5 Pro,Google DeepMind,2024/2/15,2024-02-15T00:00:00Z,,,,google_deepmind,manual-1-5-pro,,gemini1.5,discontinued,api-discontinued,,,Manual historical addition,manual_addition_2026-03-03,closed_source,frontier_closed
google_deepmind:manual-1-5-flash,1.5 Flash,Google DeepMind,2024/5/14,2024-05-14T00:00:00Z,,,,google_deepmind,manual-1-5-flash,,gemini1.5,discontinued,api-discontinued,,,Manual historical addition,manual_addition_2026-03-03,closed_source,frontier_closed
google_deepmind:gemini-2.0-flash,Gemini 2.0 Flash,Google DeepMind,2025/1/30,2025-01-30T00:00:00Z,,,,google_deepmind,gemini-2.0-flash,models/gemini-2.0-flash,gemini2,,api,,1048576,,google_models_2026-03-03.json,closed_source,frontier_closed
google_deepmind:gemini-2.0-flash-001,Gemini 2.0 Flash 001,Google DeepMind,2025/1/30,2025-01-30T00:00:00Z,,,,google_deepmind,gemini-2.0-flash-001,models/gemini-2.0-flash-001,gemini2,,api,,1048576,,google_models_2026-03-03.json,closed_source,frontier_closed
google_deepmind:gemini-2.0-flash-lite,Gemini 2.0 Flash-Lite,Google DeepMind,2025/2/1,2025-02-01T00:00:00Z,,,,google_deepmind,gemini-2.0-flash-lite,models/gemini-2.0-flash-lite,gemini2,,api,,1048576,,google_models_2026-03-03.json,closed_source,frontier_closed
google_deepmind:gemini-2.0-flash-lite-001,Gemini 2.0 Flash-Lite 001,Google DeepMind,2025/2/1,2025-02-01T00:00:00Z,,,,google_deepmind,gemini-2.0-flash-lite-001,models/gemini-2.0-flash-lite-001,gemini2,,api,,1048576,,google_models_2026-03-03.json,closed_source,frontier_closed
google_deepmind:manual-2-0-pro,2.0 Pro,Google DeepMind,2025/2/5,2025-02-05T00:00:00Z,,,,google_deepmind,manual-2-0-pro,,gemini2,,api,,,Manual timestamp/model addition,manual_addition_2026-03-03,closed_source,frontier_closed
google_deepmind:gemini-2.5-pro,Gemini 2.5 Pro,Google DeepMind,2025/3/25,2025-03-25T00:00:00Z,,,,google_deepmind,gemini-2.5-pro,models/gemini-2.5-pro,gemini2.5,,api,,1048576,,google_models_2026-03-03.json,closed_source,frontier_closed
google_deepmind:gemini-2.5-flash,Gemini 2.5 Flash,Google DeepMind,2025/4/17,2025-04-17T00:00:00Z,,,,google_deepmind,gemini-2.5-flash,models/gemini-2.5-flash,gemini2.5,,api,,1048576,,google_models_2026-03-03.json,closed_source,frontier_closed
google_deepmind:gemini-2.5-flash-lite,Gemini 2.5 Flash-Lite,Google DeepMind,2025/6/17,2025-06-17T00:00:00Z,,,,google_deepmind,gemini-2.5-flash-lite,models/gemini-2.5-flash-lite,gemini2.5,,api,,1048576,,google_models_2026-03-03.json,closed_source,frontier_closed
google_deepmind:gemini-2.5-flash-lite-preview-09-2025,Gemini 2.5 Flash-Lite Preview Sep 2025,Google DeepMind,2025/6/17,2025-06-17T00:00:00Z,,,,google_deepmind,gemini-2.5-flash-lite-preview-09-2025,models/gemini-2.5-flash-lite-preview-09-2025,gemini2.5,,api,,1048576,,google_models_2026-03-03.json,closed_source,frontier_closed
google_deepmind:gemini-3-pro-preview,Gemini 3 Pro Preview,Google DeepMind,2025/11/18,2025-11-18T00:00:00Z,,,,google_deepmind,gemini-3-pro-preview,models/gemini-3-pro-preview,gemini3,,api,,1048576,,google_models_2026-03-03.json,closed_source,frontier_closed
google_deepmind:gemini-pro-latest,Gemini Pro Latest,Google DeepMind,2025/11/18,2025-11-18T00:00:00Z,,,,google_deepmind,gemini-pro-latest,models/gemini-pro-latest,,,api,,1048576,,google_models_2026-03-03.json,closed_source,frontier_closed
google_deepmind:gemini-3-flash-preview,Gemini 3 Flash Preview,Google DeepMind,2025/12/17,2025-12-17T00:00:00Z,,,,google_deepmind,gemini-3-flash-preview,models/gemini-3-flash-preview,gemini3,,api,,1048576,,google_models_2026-03-03.json,closed_source,frontier_closed
google_deepmind:gemini-flash-latest,Gemini Flash Latest,Google DeepMind,2025/12/17,2025-12-17T00:00:00Z,,,,google_deepmind,gemini-flash-latest,models/gemini-flash-latest,,,api,,1048576,,google_models_2026-03-03.json,closed_source,frontier_closed
google_deepmind:gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,Google DeepMind,2026/2/19,2026-02-19T00:00:00Z,,,,google_deepmind,gemini-3.1-pro-preview,models/gemini-3.1-pro-preview,gemini3,,api,,1048576,,google_models_2026-03-03.json,closed_source,frontier_closed
google_deepmind:gemini-3.1-pro-preview-customtools,Gemini 3.1 Pro Preview Custom Tools,Google DeepMind,2026/2/19,2026-02-19T00:00:00Z,,,,google_deepmind,gemini-3.1-pro-preview-customtools,models/gemini-3.1-pro-preview-customtools,gemini3,,api,,1048576,,google_models_2026-03-03.json,closed_source,frontier_closed
google_deepmind:manual-3-1-flash-lite,3.1 Flash Lite,Google DeepMind,2026/3/3,2026-03-03T00:00:00Z,,,,google_deepmind,manual-3-1-flash-lite,,gemini3,,api,,,Manual timestamp/model addition,manual_addition_2026-03-03,closed_source,frontier_closed
google_deepmind:gemini-flash-lite-latest,Gemini Flash-Lite Latest,Google DeepMind,2026/3/3,2026-03-03T00:00:00Z,,,,google_deepmind,gemini-flash-lite-latest,models/gemini-flash-lite-latest,,,api,,1048576,,google_models_2026-03-03.json,closed_source,frontier_closed
openai:text-embedding-ada-002,text-embedding-ada-002,OpenAI,2022/12/16,2022-12-16T19:01:39Z,,,,openai,text-embedding-ada-002,text-embedding-ada-002,gpt3,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-3.5-turbo,gpt-3.5-turbo,OpenAI,2023/2/28,2023-02-28T18:56:42Z,,,,openai,gpt-3.5-turbo,gpt-3.5-turbo,gpt3.5,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-3.5-turbo-16k,gpt-3.5-turbo-16k,OpenAI,2023/5/10,2023-05-10T22:35:02Z,,,,openai,gpt-3.5-turbo-16k,gpt-3.5-turbo-16k,gpt3.5,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4-0613,gpt-4-0613,OpenAI,2023/6/12,2023-06-12T16:54:56Z,,,,openai,gpt-4-0613,gpt-4-0613,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4,gpt-4,OpenAI,2023/6/27,2023-06-27T16:13:31Z,,,,openai,gpt-4,gpt-4,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:davinci-002,davinci-002,OpenAI,2023/8/21,2023-08-21T16:11:41Z,,,,openai,davinci-002,davinci-002,gpt3,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:babbage-002,babbage-002,OpenAI,2023/8/21,2023-08-21T16:16:55Z,,,,openai,babbage-002,babbage-002,gpt3,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct,OpenAI,2023/8/24,2023-08-24T18:23:47Z,,,,openai,gpt-3.5-turbo-instruct,gpt-3.5-turbo-instruct,gpt3.5,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-3.5-turbo-instruct-0914,gpt-3.5-turbo-instruct-0914,OpenAI,2023/9/7,2023-09-07T21:34:32Z,,,,openai,gpt-3.5-turbo-instruct-0914,gpt-3.5-turbo-instruct-0914,gpt3.5,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4-1106-preview,gpt-4-1106-preview,OpenAI,2023/11/2,2023-11-02T20:33:26Z,,,,openai,gpt-4-1106-preview,gpt-4-1106-preview,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-3.5-turbo-1106,gpt-3.5-turbo-1106,OpenAI,2023/11/2,2023-11-02T21:15:48Z,,,,openai,gpt-3.5-turbo-1106,gpt-3.5-turbo-1106,gpt3.5,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:text-embedding-3-small,text-embedding-3-small,OpenAI,2024/1/22,2024-01-22T18:43:17Z,,,,openai,text-embedding-3-small,text-embedding-3-small,,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:text-embedding-3-large,text-embedding-3-large,OpenAI,2024/1/22,2024-01-22T19:53:00Z,,,,openai,text-embedding-3-large,text-embedding-3-large,,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4-0125-preview,gpt-4-0125-preview,OpenAI,2024/1/23,2024-01-23T19:20:12Z,,,,openai,gpt-4-0125-preview,gpt-4-0125-preview,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4-turbo-preview,gpt-4-turbo-preview,OpenAI,2024/1/23,2024-01-23T19:22:57Z,,,,openai,gpt-4-turbo-preview,gpt-4-turbo-preview,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-3.5-turbo-0125,gpt-3.5-turbo-0125,OpenAI,2024/1/23,2024-01-23T22:19:18Z,,,,openai,gpt-3.5-turbo-0125,gpt-3.5-turbo-0125,gpt3.5,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4-turbo,gpt-4-turbo,OpenAI,2024/4/5,2024-04-05T23:57:21Z,,,,openai,gpt-4-turbo,gpt-4-turbo,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4-turbo-2024-04-09,gpt-4-turbo-2024-04-09,OpenAI,2024/4/8,2024-04-08T18:41:17Z,,,,openai,gpt-4-turbo-2024-04-09,gpt-4-turbo-2024-04-09,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o,gpt-4o,OpenAI,2024/5/10,2024-05-10T18:50:49Z,,,,openai,gpt-4o,gpt-4o,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o-2024-05-13,gpt-4o-2024-05-13,OpenAI,2024/5/10,2024-05-10T19:08:52Z,,,,openai,gpt-4o-2024-05-13,gpt-4o-2024-05-13,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,OpenAI,2024/7/16,2024-07-16T23:31:57Z,,,,openai,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o-mini,gpt-4o-mini,OpenAI,2024/7/16,2024-07-16T23:32:21Z,,,,openai,gpt-4o-mini,gpt-4o-mini,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o-2024-08-06,gpt-4o-2024-08-06,OpenAI,2024/8/4,2024-08-04T23:38:39Z,,,,openai,gpt-4o-2024-08-06,gpt-4o-2024-08-06,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o-audio-preview,gpt-4o-audio-preview,OpenAI,2024/9/27,2024-09-27T18:07:23Z,,,,openai,gpt-4o-audio-preview,gpt-4o-audio-preview,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o-realtime-preview,gpt-4o-realtime-preview,OpenAI,2024/9/30,2024-09-30T01:33:18Z,,,,openai,gpt-4o-realtime-preview,gpt-4o-realtime-preview,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o-realtime-preview-2024-12-17,gpt-4o-realtime-preview-2024-12-17,OpenAI,2024/12/11,2024-12-11T19:30:30Z,,,,openai,gpt-4o-realtime-preview-2024-12-17,gpt-4o-realtime-preview-2024-12-17,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o-audio-preview-2024-12-17,gpt-4o-audio-preview-2024-12-17,OpenAI,2024/12/12,2024-12-12T20:10:39Z,,,,openai,gpt-4o-audio-preview-2024-12-17,gpt-4o-audio-preview-2024-12-17,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o-mini-realtime-preview-2024-12-17,gpt-4o-mini-realtime-preview-2024-12-17,OpenAI,2024/12/13,2024-12-13T17:56:41Z,,,,openai,gpt-4o-mini-realtime-preview-2024-12-17,gpt-4o-mini-realtime-preview-2024-12-17,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o-mini-audio-preview-2024-12-17,gpt-4o-mini-audio-preview-2024-12-17,OpenAI,2024/12/13,2024-12-13T18:52:00Z,,,,openai,gpt-4o-mini-audio-preview-2024-12-17,gpt-4o-mini-audio-preview-2024-12-17,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:o1-2024-12-17,o1-2024-12-17,OpenAI,2024/12/16,2024-12-16T05:29:36Z,,,,openai,o1-2024-12-17,o1-2024-12-17,,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:o1,o1,OpenAI,2024/12/16,2024-12-16T19:03:36Z,,,,openai,o1,o1,,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o-mini-realtime-preview,gpt-4o-mini-realtime-preview,OpenAI,2024/12/16,2024-12-16T22:16:20Z,,,,openai,gpt-4o-mini-realtime-preview,gpt-4o-mini-realtime-preview,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o-mini-audio-preview,gpt-4o-mini-audio-preview,OpenAI,2024/12/16,2024-12-16T22:17:04Z,,,,openai,gpt-4o-mini-audio-preview,gpt-4o-mini-audio-preview,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:o3-mini,o3-mini,OpenAI,2025/1/17,2025-01-17T20:39:43Z,,,,openai,o3-mini,o3-mini,,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:o3-mini-2025-01-31,o3-mini-2025-01-31,OpenAI,2025/1/27,2025-01-27T20:36:40Z,,,,openai,o3-mini-2025-01-31,o3-mini-2025-01-31,,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o-2024-11-20,gpt-4o-2024-11-20,OpenAI,2025/2/12,2025-02-12T03:39:03Z,,,,openai,gpt-4o-2024-11-20,gpt-4o-2024-11-20,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o-mini-search-preview-2025-03-11,gpt-4o-mini-search-preview-2025-03-11,OpenAI,2025/3/7,2025-03-07T23:40:58Z,,,,openai,gpt-4o-mini-search-preview-2025-03-11,gpt-4o-mini-search-preview-2025-03-11,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o-mini-search-preview,gpt-4o-mini-search-preview,OpenAI,2025/3/7,2025-03-07T23:46:01Z,,,,openai,gpt-4o-mini-search-preview,gpt-4o-mini-search-preview,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o-transcribe,gpt-4o-transcribe,OpenAI,2025/3/15,2025-03-15T19:54:23Z,,,,openai,gpt-4o-transcribe,gpt-4o-transcribe,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o-mini-transcribe,gpt-4o-mini-transcribe,OpenAI,2025/3/15,2025-03-15T19:56:36Z,,,,openai,gpt-4o-mini-transcribe,gpt-4o-mini-transcribe,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:o1-pro-2025-03-19,o1-pro-2025-03-19,OpenAI,2025/3/17,2025-03-17T22:45:04Z,,,,openai,o1-pro-2025-03-19,o1-pro-2025-03-19,,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:o1-pro,o1-pro,OpenAI,2025/3/17,2025-03-17T22:49:51Z,,,,openai,o1-pro,o1-pro,,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:o3-2025-04-16,o3-2025-04-16,OpenAI,2025/4/8,2025-04-08T17:28:21Z,,,,openai,o3-2025-04-16,o3-2025-04-16,,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:o4-mini-2025-04-16,o4-mini-2025-04-16,OpenAI,2025/4/8,2025-04-08T17:31:46Z,,,,openai,o4-mini-2025-04-16,o4-mini-2025-04-16,,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:o3,o3,OpenAI,2025/4/9,2025-04-09T19:01:48Z,,,,openai,o3,o3,,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:o4-mini,o4-mini,OpenAI,2025/4/9,2025-04-09T19:02:31Z,,,,openai,o4-mini,o4-mini,,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,OpenAI,2025/4/10,2025-04-10T20:09:06Z,,,,openai,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4.1,gpt-4.1,OpenAI,2025/4/10,2025-04-10T20:22:22Z,,,,openai,gpt-4.1,gpt-4.1,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,OpenAI,2025/4/10,2025-04-10T20:39:07Z,,,,openai,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4.1-mini,gpt-4.1-mini,OpenAI,2025/4/10,2025-04-10T20:49:33Z,,,,openai,gpt-4.1-mini,gpt-4.1-mini,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4.1-nano-2025-04-14,gpt-4.1-nano-2025-04-14,OpenAI,2025/4/10,2025-04-10T21:37:05Z,,,,openai,gpt-4.1-nano-2025-04-14,gpt-4.1-nano-2025-04-14,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4.1-nano,gpt-4.1-nano,OpenAI,2025/4/10,2025-04-10T21:48:27Z,,,,openai,gpt-4.1-nano,gpt-4.1-nano,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o-realtime-preview-2025-06-03,gpt-4o-realtime-preview-2025-06-03,OpenAI,2025/6/2,2025-06-02T23:43:58Z,,,,openai,gpt-4o-realtime-preview-2025-06-03,gpt-4o-realtime-preview-2025-06-03,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o-audio-preview-2025-06-03,gpt-4o-audio-preview-2025-06-03,OpenAI,2025/6/2,2025-06-02T23:54:58Z,,,,openai,gpt-4o-audio-preview-2025-06-03,gpt-4o-audio-preview-2025-06-03,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-4o-transcribe-diarize,gpt-4o-transcribe-diarize,OpenAI,2025/6/24,2025-06-24T21:01:27Z,,,,openai,gpt-4o-transcribe-diarize,gpt-4o-transcribe-diarize,gpt4,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-5-chat-latest,gpt-5-chat-latest,OpenAI,2025/8/1,2025-08-01T18:35:06Z,,,,openai,gpt-5-chat-latest,gpt-5-chat-latest,gpt5,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-5-2025-08-07,gpt-5-2025-08-07,OpenAI,2025/8/1,2025-08-01T19:09:20Z,,,,openai,gpt-5-2025-08-07,gpt-5-2025-08-07,gpt5,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-5,gpt-5,OpenAI,2025/8/5,2025-08-05T20:29:37Z,,,,openai,gpt-5,gpt-5,gpt5,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-5-mini-2025-08-07,gpt-5-mini-2025-08-07,OpenAI,2025/8/5,2025-08-05T20:31:07Z,,,,openai,gpt-5-mini-2025-08-07,gpt-5-mini-2025-08-07,gpt5,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-5-mini,gpt-5-mini,OpenAI,2025/8/5,2025-08-05T20:32:08Z,,,,openai,gpt-5-mini,gpt-5-mini,gpt5,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-5-nano-2025-08-07,gpt-5-nano-2025-08-07,OpenAI,2025/8/5,2025-08-05T20:38:23Z,,,,openai,gpt-5-nano-2025-08-07,gpt-5-nano-2025-08-07,gpt5,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-5-nano,gpt-5-nano,OpenAI,2025/8/5,2025-08-05T20:39:44Z,,,,openai,gpt-5-nano,gpt-5-nano,gpt5,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-audio-2025-08-28,gpt-audio-2025-08-28,OpenAI,2025/8/27,2025-08-27T00:55:46Z,,,,openai,gpt-audio-2025-08-28,gpt-audio-2025-08-28,,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-realtime,gpt-realtime,OpenAI,2025/8/27,2025-08-27T05:15:01Z,,,,openai,gpt-realtime,gpt-realtime,,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-realtime-2025-08-28,gpt-realtime-2025-08-28,OpenAI,2025/8/27,2025-08-27T05:16:13Z,,,,openai,gpt-realtime-2025-08-28,gpt-realtime-2025-08-28,,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
openai:gpt-audio,gpt-audio,OpenAI,2025/8/28,2025-08-28T00:00:49Z,,,,openai,gpt-audio,gpt-audio,,,api,,,,openai_models_2026-03-03.json,closed_source,frontier_closed
